Name,"Number
2020-03-18 17:58:38","Number
2020-03-19 17:18:25"
Freistaat name ['Sachsen'],+++ ['250'] +++,+++ ['305'] +++
['Leipzig Stadt'],['71'],['80']
['Dresden'],['40'],['50']
['Bautzen'],['24'],['32']
['Zwickau '],['23'],['31']
['Leipzig'],['17'],['21']
['Chemnitz'],['16'],['19']
['Sächsische Schweiz-Osterzgebirge'],['14'],['18']
['Erzgebirgskreis'],['11'],['12']
['Meißen'],['11'],['12']
['Görlitz '],['9'],['12']
['Mittelsachsen'],['6'],['9']
['Nordsachsen'],['6'],['6']
['Vogtlandkreis'],['2'],['3']
Freistaat name ['Schleswig-Holstein'],+++ ['196'] +++,+++ ['202'] +++
['Pinneberg'],['45'],['45']
['Kiel'],['20'],['20']
['Lübeck'],['18'],['18']
['Schleswig-Flensburg'],['18'],['18']
['Herzogtum Lauenburg'],['17'],['17']
['Rendsburg-Eckernförde'],['16'],['16']
['Segeberg'],['14'],['14']
['Stormarn'],['11'],['11']
['Plön'],['8'],['8']
['Flensburg'],['7'],['7']
['Nordfriesland'],['7'],['7']
['Dithmarschen'],['6'],['6']
['Ostholstein'],['4'],['4']
['Steinburg'],['4'],['4']
['Neumünster'],['1'],['1']
Freistaat name ['Brandenburg'],+++ ['180'] +++,+++ ['201'] +++
['Märkisch-Oderland'],['28'],['28']
['Oder-Spree'],['23'],['23']
['Barnim'],['20'],['20']
['Cottbus'],['17'],['20']
['Spree-Neiße'],['16'],['18']
['Potsdam'],['13'],['17']
['Dahme-Spreewald'],['12'],['16']
['Teltow-Fläming'],['10'],['13']
['Havelland'],['8'],['11']
['Oberhavel'],['8'],['8']
['Potsdam-Mittelmark'],['8'],['8']
['Elbe-Elster'],['6'],['6']
['Oberspreewald-Lausitz'],['5'],['5']
['Uckermark'],['3'],['3']
['Brandenburg an der Havel'],['1'],['2']
['Frankfurt (Oder)'],['1'],['1']
['Ostprignitz-Ruppin'],['1'],['1']
['Prignitz'],['0'],['1']
Freistaat name ['Saarland'],+++ ['144'] +++,+++ ['178'] +++
['Regionalverband Saarbrücken'],['45'],['40']
['Saarlouis'],['24'],['29']
['Saarpfalz-Kreis'],['24'],['25']
['Neunkirchen'],['22'],['14']
['St. Wendel'],['19'],['12']
['Merzig-Wadern'],['10'],['11']
Freistaat name ['Thüringen'],+++ ['117'] +++,['9']
['Erfurt'],['16'],['8']
['Jena'],['12'],['8']
['Kyffhäuserkreis'],['7'],['8']
['Saalfeld-Rudolstadt'],['6'],['5']
['Altenburger Land'],['4'],['3']
['Weimar'],['4'],['3']
['Greiz'],['3'],['3']
['Saale-Holzland-Kreis'],['3'],+++ ['175'] +++
['Saale-Orla-Kreis'],['3'],['63']
['Wartburgkreis'],['3'],['30']
['Eichsfeld'],['2'],['27']
['Nordhausen'],['2'],['22']
['Schmalkalden-Meiningen'],['2'],['22']
['Eisenach'],['1'],['11']
['Gera'],['1'],+++ ['117'] +++
['Gotha'],['1'],['30']
['Ilm-Kreis'],['1'],['17']
['Suhl'],['1'],['16']
['Unstrut-Hainich-Kreis'],['1'],['7']
['Weimarer Land'],['1'],['6']
['Hildburghausen'],['0'],['5']
['Sonneberg'],['0'],['4']
['Sömmerda'],['0'],['4']
Freistaat name ['Sachsen-Anhalt'],+++ ['116'] +++,['4']
['Halle (Saale)'],['19'],['3']
['Börde'],['17'],['3']
['Magdeburg'],['16'],['3']
['Salzlandkreis'],['9'],['2']
['Stendal'],['9'],['2']
['Burgenlandkreis'],['8'],['2']
['Harz'],['8'],['2']
['Anhalt-Bitterfeld'],['6'],['2']
['Altmarkkreis Salzwedel'],['3'],['1']
['Saalekreis'],['3'],['1']
['Wittenberg'],['3'],['1']
['Dessau-Roßlau'],['2'],['0']
['Jerichower Land'],['1'],['0']
['Mansfeld-Südharz'],['1'],['0']
Freistaat name ['Bremen'],+++ ['69'] +++,+++ ['100'] +++
['Bremen Stadt'],['69'],['16']
Freistaat name ['Mecklenburg-Vorpommern'],+++ ['69'] +++,['13']
['Rostock (Stadt)'],['16'],['11']
['Rostock (Land)'],['13'],['9']
['Mecklenburgische Seenplatte'],['11'],['7']
['Vorpommern-Greifswald'],['9'],['6']
['Schwerin'],['7'],['3']
['Vorpommern-Rügen'],['6'],['2']
['Nordwestmecklenburg'],['3'],+++ ['80'] +++
['Ludwigslust-Parchim'],['2'],['80']
